Content ID,Category,Content Type,Reaction Type,Datetime,Reaction Score
97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,disgust,11/7/2020 9:43,0
97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,disgust,1/6/2021 19:13,0
97522e57-d9ab-4bd6-97bf-c24d952602d2,studying,photo,disgust,4/9/2021 2:46,0
9f737e0a-3cdd-4d29-9d24-753f4e3be810,healthy eating,photo,disgust,3/28/2021 21:15,0
230c4e4d-70c3-461d-b42c-ec09396efb3f,healthy eating,photo,disgust,8/4/2020 5:40,0
3f8590c7-6ab2-4973-805a-90cdec355f05,dogs,video,disgust,1/14/2021 7:21,0
3f8590c7-6ab2-4973-805a-90cdec355f05,dogs,video,disgust,1/13/2021 23:35,0
3f8590c7-6ab2-4973-805a-90cdec355f05,dogs,video,disgust,2/11/2021 20:10,0
b18cb63f-4c8e-44ee-a47f-541e95191d11,public speaking,photo,disgust,5/27/2021 1:44,0
b18cb63f-4c8e-44ee-a47f-541e95191d11,public speaking,photo,disgust,2/13/2021 4:14,0
5118e9c5-1377-4cc5-a486-65b35b7b7b76,science,GIF,disgust,11/7/2020 8:49,0
0be59876-d70c-486c-8e0b-a06bef7a2cd6,tennis,GIF,disgust,3/31/2021 15:51,0
0be59876-d70c-486c-8e0b-a06bef7a2cd6,tennis,GIF,disgust,9/11/2020 16:22,0
0be59876-d70c-486c-8e0b-a06bef7a2cd6,tennis,GIF,disgust,10/13/2020 16:31,0
0be59876-d70c-486c-8e0b-a06bef7a2cd6,tennis,GIF,disgust,7/23/2020 19:31,0
81abd65a-3b76-4574-a0a7-db6bf7184ae2,food,video,disgust,12/8/2020 13:12,0
81abd65a-3b76-4574-a0a7-db6bf7184ae2,food,video,disgust,1/5/2021 13:15,0
81abd65a-3b76-4574-a0a7-db6bf7184ae2,food,video,disgust,11/8/2020 2:43,0
81abd65a-3b76-4574-a0a7-db6bf7184ae2,food,video,disgust,4/19/2021 1:45,0
81abd65a-3b76-4574-a0a7-db6bf7184ae2,food,video,disgust,10/18/2020 12:49,0
7ffd0a82-4a0a-4527-a4d6-e251b756bac7,fitness,GIF,disgust,2/8/2021 3:28,0
f332d362-dc48-46c2-a64b-641157c0987e,soccer,GIF,disgust,2/15/2021 20:35,0
a2e93b29-9259-4092-a4d7-62d5e823bb74,public speaking,video,disgust,6/9/2021 9:41,0
a2e93b29-9259-4092-a4d7-62d5e823bb74,public speaking,video,disgust,12/26/2020 6:13,0
a2e93b29-9259-4092-a4d7-62d5e823bb74,public speaking,video,disgust,6/15/2021 17:31,0
9b3a6d30-48e8-476c-82be-9031524bd04d,food,video,disgust,11/21/2020 3:14,0
9b3a6d30-48e8-476c-82be-9031524bd04d,food,video,disgust,1/1/2021 11:23,0
850fe90d-47d6-4eb7-b9c8-810afcb99ce9,tennis,video,disgust,4/10/2021 9:41,0
850fe90d-47d6-4eb7-b9c8-810afcb99ce9,tennis,video,disgust,12/14/2020 12:53,0
850fe90d-47d6-4eb7-b9c8-810afcb99ce9,tennis,video,disgust,10/6/2020 10:20,0
850fe90d-47d6-4eb7-b9c8-810afcb99ce9,tennis,video,disgust,8/27/2020 15:08,0
baa2db00-81ba-4c34-b17d-dd950bfa133b,soccer,GIF,disgust,9/13/2020 8:14,0
baa2db00-81ba-4c34-b17d-dd950bfa133b,soccer,GIF,disgust,8/19/2020 3:04,0
baa2db00-81ba-4c34-b17d-dd950bfa133b,soccer,GIF,disgust,3/9/2021 21:30,0
f98dde71-ce1d-4f6c-bb05-ae05779d2207,soccer,GIF,disgust,12/12/2020 23:02,0
f98dde71-ce1d-4f6c-bb05-ae05779d2207,soccer,GIF,disgust,3/30/2021 23:01,0
f98dde71-ce1d-4f6c-bb05-ae05779d2207,soccer,GIF,disgust,10/22/2020 3:40,0
388bd9db-9d10-4f47-87c4-6db46e83bc95,education,video,disgust,3/31/2021 0:16,0
78d0075f-895c-4a15-a35c-a921e2bb2cea,studying,photo,disgust,12/7/2020 0:39,0
78d0075f-895c-4a15-a35c-a921e2bb2cea,studying,photo,disgust,4/7/2021 22:07,0
78d0075f-895c-4a15-a35c-a921e2bb2cea,studying,photo,disgust,7/6/2020 19:29,0
bda0b065-7f8b-4d52-b7e9-fcc375cdab08,travel,photo,disgust,9/11/2020 20:55,0
bda0b065-7f8b-4d52-b7e9-fcc375cdab08,travel,photo,disgust,7/26/2020 11:28,0
809b41e3-7a6f-4d80-84bf-f8d7b0e2d0e1,dogs,audio,disgust,5/11/2021 3:04,0
34a3747a-0b77-42f6-ae19-87c38b94b674,science,GIF,disgust,4/28/2021 7:00,0
34a3747a-0b77-42f6-ae19-87c38b94b674,science,GIF,disgust,8/5/2020 15:37,0
2920dccb-e06f-49fc-8049-b6d4164dfe84,veganism,GIF,disgust,7/21/2020 9:23,0
2920dccb-e06f-49fc-8049-b6d4164dfe84,veganism,GIF,disgust,6/21/2020 14:10,0
f4e3840e-bb71-40c2-afc5-9408d842646d,healthy eating,photo,disgust,3/8/2021 2:51,0
a2ff9bf2-1fa6-4001-9566-f597f8e754ef,food,video,disgust,2/21/2021 8:37,0
a2ff9bf2-1fa6-4001-9566-f597f8e754ef,food,video,disgust,12/4/2020 13:10,0
74718bbf-e5a3-442f-8ca2-4a3428757fc1,dogs,video,disgust,12/22/2020 19:44,0
74718bbf-e5a3-442f-8ca2-4a3428757fc1,dogs,video,disgust,7/8/2020 10:18,0
74718bbf-e5a3-442f-8ca2-4a3428757fc1,dogs,video,disgust,10/22/2020 15:01,0
02fa1c4f-722d-46d2-a85e-e5b136b5f3bc,cooking,video,disgust,1/17/2021 23:43,0
02fa1c4f-722d-46d2-a85e-e5b136b5f3bc,cooking,video,disgust,6/23/2020 11:28,0
eec5e521-4c28-4e8a-93a9-d544803fad7e,food,audio,disgust,10/10/2020 23:55,0
49367a0f-1fd5-4417-a7c9-4a154e1ae0ad,technology,photo,disgust,8/1/2020 8:00,0
49367a0f-1fd5-4417-a7c9-4a154e1ae0ad,technology,photo,disgust,10/6/2020 11:27,0
457301ee-3e87-40d8-8b82-ea4e1fa90e39,healthy eating,GIF,disgust,6/30/2020 23:11,0
457301ee-3e87-40d8-8b82-ea4e1fa90e39,healthy eating,GIF,disgust,1/16/2021 1:40,0
457301ee-3e87-40d8-8b82-ea4e1fa90e39,healthy eating,GIF,disgust,5/21/2021 14:58,0
457301ee-3e87-40d8-8b82-ea4e1fa90e39,healthy eating,GIF,disgust,10/1/2020 7:34,0
457301ee-3e87-40d8-8b82-ea4e1fa90e39,healthy eating,GIF,disgust,7/7/2020 12:17,0
4fa14453-7b29-4302-b51f-9aa23b472c1b,animals,audio,disgust,9/8/2020 15:30,0
ab4c4756-1c50-4136-bad9-3216e01ffac2,fitness,audio,disgust,4/24/2021 11:52,0
ab4c4756-1c50-4136-bad9-3216e01ffac2,fitness,audio,disgust,3/18/2021 22:16,0
4478d98e-43e8-4dc0-884d-c1115aa8b970,animals,audio,disgust,7/5/2020 20:02,0
34f73132-fff6-4f01-a5ec-4b4b66461fc7,fitness,photo,disgust,11/12/2020 19:22,0
34f73132-fff6-4f01-a5ec-4b4b66461fc7,fitness,photo,disgust,9/21/2020 8:22,0
34f73132-fff6-4f01-a5ec-4b4b66461fc7,fitness,photo,disgust,4/18/2021 13:09,0
34f73132-fff6-4f01-a5ec-4b4b66461fc7,fitness,photo,disgust,1/27/2021 15:57,0
bfa4e11c-9d72-49b9-bd43-49d95c2e5181,veganism,photo,disgust,12/6/2020 6:14,0
